year,fips,beverage_type,beverage_name,gallons_beverage,gallons_ethanol,population_14plus,ethanol_pc_14plus,decile_14plus,population_21plus,ethanol_pc_21plus,decile_21plus,data_source,abv,ethanol_timevarying_abv,ethanol_pc_14plus_x10000,ethanol_pc_21plus_x10000,abv_x1000,Unnamed: 18,Unnamed: 19,location_abbr
2020,21,3,Beer,74640746.0,3358834,372991,0.9005,9.0,331412,1.0135,9.0,2.0,0.048,3582756,9005,10135,48.0,,,KY
2020,21,4,All beverages,,7868740,372991,2.1096,8.0,331412,2.3743,9.0,,,7814250,21096,23743,,,,KY
2020,22,1,Spirits,9303865.0,3823888,381023,1.0036,5.0,337461,1.1331,5.0,1.0,0.376,3498253,10036,11331,376.0,,,LA
2020,22,2,Wine,10033920.0,1294376,381023,0.3397,6.0,337461,0.3836,6.0,1.0,0.118,1184003,3397,3836,118.0,,,LA
2020,22,3,Beer,104811000.0,4716495,381023,1.2378,3.0,337461,1.3976,3.0,7.0,0.047,4926117,12378,13976,47.0,,,LA
2020,22,4,All beverages,,9834759,381023,2.5811,5.0,337461,2.9143,4.0,,,9608373,25811,29143,,,,LA
2020,23,1,Spirits,3353216.0,1378172,117417,1.1737,3.0,106302,1.2965,3.0,6.0,0.362,1213864,11737,12965,362.0,,,ME
2020,23,2,Wine,3974325.0,512688,117417,0.4366,5.0,106302,0.4823,5.0,7.0,0.117,464996,4366,4823,117.0,,,ME
2020,23,3,Beer,35030000.0,1576350,117417,1.3425,1.0,106302,1.4829,2.0,7.0,0.048,1681440,13425,14829,48.0,,,ME
2020,23,4,All beverages,,3467210,117417,2.9529,3.0,106302,3.2617,3.0,,,3360300,29529,32617,,,,ME
2020,24,1,Spirits,11879812.0,4882603,512071,0.9535,6.0,456591,1.0694,6.0,3.0,0.383,4549968,9535,10694,383.0,,,MD
2020,24,2,Wine,15686497.0,2023558,512071,0.3952,6.0,456591,0.4432,6.0,3.0,0.118,1851007,3952,4432,118.0,,,MD
2020,24,3,Beer,86437865.0,3889704,512071,0.7596,10.0,456591,0.8519,10.0,1.0,0.048,4149018,7596,8519,48.0,,,MD
2020,24,4,All beverages,,10795865,512071,2.1083,9.0,456591,2.3644,9.0,,,10549993,21083,23644,,,,MD
2020,25,1,Spirits,16499058.0,6781113,595595,1.1385,4.0,531413,1.2761,3.0,1.0,0.373,6154149,11385,12761,373.0,,,MA
2020,25,2,Wine,28049133.0,3618338,595595,0.6075,2.0,531413,0.6809,2.0,1.0,0.118,3309798,6075,6809,118.0,,,MA
2020,25,3,Beer,110948565.0,4992685,595595,0.8383,9.0,531413,0.9395,9.0,1.0,0.048,5325531,8383,9395,48.0,,,MA
2020,25,4,All beverages,,15392136,595595,2.5843,4.0,531413,2.8965,4.0,,,14789478,25843,28965,,,,MA
